fire_id,ignition_lat,ignition_lon,ignition_time,zone,spread_radius_km,duration_hours,acres_burned,temperature,humidity,wind_speed,rainfall,drought_index,impact_score
CAF-2021-0001,33.174,-118.5761,2021-05-16 18:00:00,Southern California,2.81,7.8,3852.5,16.3,47.1,10.1,2.23,3.58,0.0
CAF-2018-0002,40.1371,-121.6497,2018-08-22 12:00:00,Northern Sierra Nevada,3.34,33.3,6136.5,37.2,20.0,58.6,0.09,7.8,0.68
CAF-2019-0003,32.5,-115.9857,2019-12-13 07:00:00,Inland Empire,1.47,14.5,489.1,17.0,43.0,2.6,5.23,4.94,0.0
CAF-2021-0004,38.2078,-121.3654,2021-03-27 07:00:00,Bay Area Hills,1.36,3.9,1072.5,18.1,56.0,21.4,9.73,4.95,0.0
CAF-2018-0005,35.3727,-119.2555,2018-07-13 14:00:00,Santa Barbara Ventura,1.39,1.1,320.4,34.8,14.1,18.2,0.37,10.0,1.55
CAF-2020-0006,36.8645,-117.6863,2020-06-03 19:00:00,Central Valley Foothills,4.69,46.1,9100.0,38.4,6.9,48.8,0.3,8.78,3.43
CAF-2021-0007,38.7527,-122.3623,2021-09-14 19:00:00,Bay Area Hills,1.61,25.9,668.8,30.7,28.3,39.8,0.4,6.57,0.0
CAF-2020-0008,33.6935,-118.753,2020-12-26 08:00:00,Southern California,1.67,24.4,608.3,16.2,36.0,36.2,0.13,3.9,0.0
CAF-2018-0009,37.8114,-122.0073,2018-03-10 11:00:00,Northern Sierra Nevada,1.59,13.5,768.8,30.1,32.8,38.8,3.01,2.17,0.0
CAF-2023-0010,37.0542,-120.9227,2023-07-21 17:00:00,Bay Area Hills,3.71,21.4,2875.8,40.4,29.4,32.2,0.43,7.52,0.0
CAF-2022-0011,38.5779,-118.3469,2022-06-15 09:00:00,Central Valley Foothills,4.06,17.1,8097.7,34.9,10.4,40.1,0.19,5.3,1.87
CAF-2019-0012,39.2569,-120.2861,2019-09-27 12:00:00,Northern Sierra Nevada,1.53,10.2,629.3,39.4,17.5,25.8,0.47,10.0,1.01
CAF-2023-0013,41.6911,-122.4154,2023-07-25 11:00:00,Northern Sierra Nevada,2.09,38.3,1252.4,36.8,19.6,28.8,1.09,8.66,0.4
CAF-2020-0014,42.0,-123.1133,2020-05-02 13:00:00,Shasta Cascade,1.45,28.8,704.7,18.9,48.4,6.0,4.1,1.8,0.0
CAF-2018-0015,34.1201,-118.6527,2018-04-18 12:00:00,Santa Barbara Ventura,3.49,1.0,7462.3,18.4,54.6,15.5,2.31,0.27,0.0
CAF-2019-0016,33.0877,-115.9261,2019-08-01 09:00:00,San Diego County,0.75,14.4,267.3,41.4,7.3,14.1,0.3,7.41,2.3
CAF-2022-0017,33.7328,-117.5283,2022-09-03 11:00:00,San Diego County,3.44,61.1,3973.4,37.5,5.0,31.1,0.25,9.38,3.58
