asset_id,asset_type,latitude,longitude,region
CA-TRA-00001,transformer,37.4386,-122.3743,San Jose
CA-SCH-00002,school,39.2496,-122.6517,San Francisco
CA-SCH-00003,school,35.0961,-118.3477,Los Angeles
CA-HOU-00004,house,37.2738,-121.4828,Sacramento
CA-HOU-00005,house,37.2462,-122.3949,San Jose
CA-HOU-00006,house,33.0565,-117.2641,San Diego
CA-TRA-00007,transformer,40.985,-122.6982,Redding
CA-SHE-00008,shelter,36.8131,-122.3903,San Jose
CA-EME-00009,emergency_center,32.5,-117.237,San Diego
CA-HOU-00010,house,38.3974,-121.8891,San Francisco
CA-HOU-00011,house,40.0822,-121.8035,San Francisco
CA-HOU-00012,house,37.6348,-119.364,Fresno
CA-HOU-00013,house,32.5,-116.9992,San Diego
CA-HOU-00014,house,33.6871,-119.0017,Los Angeles
CA-HOS-00015,hospital,38.0435,-122.0342,San Francisco
CA-HOU-00016,house,37.0597,-119.3008,Fresno
CA-HOU-00017,house,34.3313,-117.5967,Los Angeles
CA-HOU-00018,house,34.7371,-118.1625,Los Angeles
CA-HOU-00019,house,32.8254,-117.2477,San Diego
CA-HOU-00020,house,33.3749,-116.187,San Diego
CA-HOU-00021,house,37.9441,-121.1567,Sacramento
CA-HOU-00022,house,32.9183,-117.0855,Riverside
CA-HOU-00023,house,37.4229,-119.6445,Fresno
CA-HOU-00024,house,39.5727,-121.3052,Sacramento
CA-POW-00025,power_line,35.6203,-120.3895,Fresno
CA-POW-00026,power_line,37.6135,-121.0648,San Francisco
CA-HOU-00027,house,37.0298,-123.2533,San Francisco
CA-HOU-00028,house,36.8307,-118.1483,Los Angeles
CA-HOU-00029,house,37.9265,-121.7246,San Francisco
CA-HOU-00030,house,38.4303,-121.1048,Sacramento
CA-POW-00031,power_line,33.179,-117.2187,Los Angeles
CA-SCH-00032,school,33.0969,-117.5373,San Diego
CA-HOS-00033,hospital,33.2969,-116.2968,San Diego
CA-HOS-00034,hospital,34.1611,-115.1376,San Diego
CA-HOU-00035,house,32.5,-117.4602,San Diego
CA-HOU-00036,house,37.0846,-123.1139,San Francisco
CA-HOU-00037,house,32.6874,-116.6234,San Diego
CA-POW-00038,power_line,34.2527,-118.816,Santa Barbara
CA-POW-00039,power_line,34.8607,-120.106,Santa Barbara
CA-HOU-00040,house,32.5,-117.9185,San Diego
CA-HOU-00041,house,38.7326,-121.146,Sacramento
CA-HOU-00042,house,37.1921,-118.1579,Los Angeles
CA-HOU-00043,house,37.1023,-122.5056,San Francisco
CA-POW-00044,power_line,37.7975,-121.8556,San Francisco
CA-EME-00045,emergency_center,34.7976,-117.0118,Riverside
CA-TRA-00046,transformer,33.9075,-117.716,Los Angeles
CA-HOU-00047,house,33.7609,-116.8374,San Diego
CA-SCH-00048,school,40.6549,-122.2864,Redding
CA-TRA-00049,transformer,33.1038,-118.2972,San Diego
CA-HOU-00050,house,38.5312,-121.8462,Sacramento
CA-HOS-00051,hospital,33.9495,-120.248,Los Angeles
CA-TRA-00052,transformer,35.9572,-119.162,Bakersfield
CA-TRA-00053,transformer,38.3622,-120.916,Sacramento
CA-HOU-00054,house,39.2144,-120.9085,Sacramento
CA-POW-00055,power_line,39.6036,-121.1807,San Francisco
CA-SHE-00056,shelter,38.1297,-122.6336,San Francisco
CA-SHE-00057,shelter,38.2577,-121.5226,San Francisco
CA-HOU-00058,house,38.1617,-121.0024,San Jose
CA-HOU-00059,house,33.8518,-117.6326,Riverside
CA-HOU-00060,house,34.4629,-117.488,San Diego
CA-HOU-00061,house,37.8835,-120.8704,San Jose
CA-HOU-00062,house,38.7239,-121.2995,Sacramento
CA-HOU-00063,house,38.5663,-121.2597,Sacramento
CA-TRA-00064,transformer,36.9886,-121.2217,San Jose
CA-SHE-00065,shelter,33.171,-116.7443,Riverside
CA-HOU-00066,house,34.1892,-115.9703,Los Angeles
CA-HOU-00067,house,35.3444,-119.0745,Fresno
CA-TRA-00068,transformer,33.1903,-118.0754,Los Angeles
CA-SCH-00069,school,34.789,-118.5535,Los Angeles
CA-SCH-00070,school,39.0246,-121.1285,Sacramento
CA-HOU-00071,house,33.9278,-117.423,Los Angeles
CA-HOU-00072,house,33.5766,-117.4603,Riverside
CA-HOU-00073,house,38.3502,-122.2822,Sacramento
CA-POW-00074,power_line,36.6486,-118.9552,Fresno
CA-EME-00075,emergency_center,33.0294,-120.4721,Los Angeles
CA-SHE-00076,shelter,37.5997,-122.4812,Sacramento
CA-HOU-00077,house,38.9628,-121.8605,Sacramento
CA-POW-00078,power_line,35.9221,-116.0137,Los Angeles
CA-HOU-00079,house,33.6102,-118.3114,Los Angeles
CA-HOU-00080,house,37.9775,-121.747,San Jose
CA-POW-00081,power_line,38.0222,-121.8012,San Francisco
CA-HOS-00082,hospital,36.2327,-122.7961,San Jose
CA-HOU-00083,house,37.7499,-121.2323,Sacramento
CA-SCH-00084,school,37.8481,-122.6506,San Francisco
CA-TRA-00085,transformer,34.828,-120.064,Santa Barbara
CA-HOU-00086,house,33.6543,-117.5399,Riverside
CA-HOU-00087,house,38.2822,-120.7587,San Francisco
CA-HOU-00088,house,33.5163,-117.1689,Los Angeles
CA-EME-00089,emergency_center,37.5793,-121.7465,San Francisco
CA-HOU-00090,house,38.316,-120.9886,San Francisco
CA-EME-00091,emergency_center,36.5354,-121.9058,San Jose
CA-POW-00092,power_line,40.3755,-122.0733,Redding
CA-TRA-00093,transformer,37.1396,-121.7446,San Francisco
CA-HOU-00094,house,36.5973,-118.5732,Fresno
CA-SHE-00095,shelter,39.7235,-121.4226,Sacramento
CA-TRA-00096,transformer,37.3467,-121.7354,San Jose
CA-HOU-00097,house,34.6849,-117.3365,Los Angeles
CA-HOU-00098,house,37.3148,-120.7761,San Francisco
CA-SCH-00099,school,33.5811,-118.6407,Los Angeles
CA-HOS-00100,hospital,37.1263,-121.8204,San Francisco
CA-TRA-00101,transformer,32.5,-117.4238,San Diego
CA-HOU-00102,house,37.6531,-122.6381,San Jose
CA-HOU-00103,house,34.8769,-119.0068,Los Angeles
CA-SHE-00104,shelter,36.975,-118.2357,Los Angeles
CA-TRA-00105,transformer,37.1879,-123.2155,San Francisco
CA-EME-00106,emergency_center,37.1148,-122.2489,San Jose
CA-TRA-00107,transformer,33.5195,-117.4124,Riverside
CA-SCH-00108,school,38.7531,-122.4416,Sacramento
CA-TRA-00109,transformer,33.9987,-117.6506,Riverside
CA-POW-00110,power_line,38.1317,-122.6659,San Francisco
CA-HOU-00111,house,36.4691,-122.6107,San Francisco
CA-POW-00112,power_line,38.849,-121.1137,San Francisco
CA-HOU-00113,house,33.7826,-118.4161,Los Angeles
CA-SCH-00114,school,35.8598,-119.9765,Bakersfield
